('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('jirAPaH', 'a)SuturagAvaH', 'b)aByarcanam', 'c)pApoSa', 'd)akzaH')
('tarakzu', 'a)daMzwrI', 'b)Cid', 'c)SilpavidyA', 'd)Aspadam')
('sAmagrI', 'a)sAmagryam', 'b)nirGAtaH', 'c)Palam', 'd)unmocaya')
('Bavanam', 'a)prAsAdaH', 'b)kAm', 'c)anuvraj', 'd)avaliptaH')
('dvyawwakam', 'a)dvitalam', 'b)Atap', 'c)krudDa', 'd)nIcakulam')
('nivAsaH', 'a)vasatiH', 'b)paridfS', 'c)protTita', 'd)upanizad')
('tejomahAlayaH', 'a)tAjamahAlaH', 'b)natamUrDan', 'c)diSAhIna', 'd)surakzA')
('BaNgya', 'a)BaYjanIya', 'b)mahAtmA', 'c)SiSuH', 'd)dAserakaH')
('kzuDitaH', 'a)kzuDAturaH', 'b)amarapuzpaH', 'c)tElayukta', 'd)ruz')
('kuwila', 'a)vakra', 'b)unmad', 'c)meDyaH', 'd)prakzoBaya')
('SalyakaRWaH', 'a)SalyaH', 'b)AvApaH', 'c)mahAvanam', 'd)jetrI')
('ganDamArjAraH', 'a)mfgacewakaH', 'b)vyatyAsaH', 'c)palARquH', 'd)nirvApaya')
('rAjIvarAsaBaH', 'a)citrarAsaBaH', 'b)vismayaH', 'c)suSIla', 'd)kAka')
('aSvakaH', 'a)kzudrASvaH', 'b)azwavaMSaH', 'c)mAlA', 'd)luptatA')
('BUmigfham', 'a)guptiH', 'b)eqa', 'c)BakzaRam', 'd)kftaPala')
('CAdaH', 'a)cAlaH', 'b)acCa', 'c)sTirarAgA', 'd)sendUrI')
('niravadya', 'a)saBya', 'b)pAlInagarI', 'c)SitaDA', 'd)vfta')
('nARakam', 'a)nizkaH', 'b)ahitam', 'c)kalatram', 'd)kzodaH')
('svarRamudrA', 'a)suvarRamudrA', 'b)mih', 'c)alikulam', 'd)anucaraH')
('pozita', 'a)puzwa', 'b)aDavASramaH', 'c)somaH', 'd)keliH')
('vimAnapattanam', 'a)vAyupattanam', 'b)yuDAjiH', 'c)niyam', 'd)akalmaza')
('talam', 'a)aDoBAgaH', 'b)tyAgaH', 'c)vAdaH', 'd)krIqA')
('paSca', 'a)kUwam', 'b)sArvajanika', 'c)Amram', 'd)astaM')
('BittiH', 'a)BittikA', 'b)asti', 'c)anuvAdaH', 'd)parivahanasTAnakam')
('bIjam', 'a)bIjakam', 'b)karma', 'c)pulI', 'd)parimitiH')
('Svasanatantram', 'a)SvasanapraRAlI', 'b)paricaraH', 'c)biliSaH', 'd)aByupagam')
('jalajIvaH', 'a)jalacaraH', 'b)aNganam', 'c)ekatra', 'd)Arya')
('uzma', 'a)uzRa', 'b)vicArakartA', 'c)avyutpanna', 'd)gaganasparSin')
('kesaraH', 'a)keSaraH', 'b)vaYjuladrumaH', 'c)aBijYAnam', 'd)Acar')
('suganDaH', 'a)suganDam', 'b)yaTocitam', 'c)vIRA', 'd)niSita')
('tarkagamya', 'a)tarkADIna', 'b)dillInagarIya', 'c)antarIpam', 'd)maRqala')
('svArjita', 'a)svopArjita', 'b)sidDa', 'c)apOruzeya', 'd)suKyAta')
('aprAcuryam', 'a)nyUnatA', 'b)upAviS', 'c)tarkagamya', 'd)upanAyaka')
('saMyamaH', 'a)saMyAmaH', 'b)CAga', 'c)nikzaRam', 'd)SAlUkam')
('satyam', 'a)taTyam', 'b)nirdaMS', 'c)parimlAna', 'd)BUmidAraRam')
('asatyam', 'a)miTyA', 'b)upaviBAgaH', 'c)prati', 'd)saMjYAta')
('niyamapAlanam', 'a)viDipAlanam', 'b)pra', 'c)BOtikaSAstrajYaH', 'd)sUpaDa')
('ativyayin', 'a)apavyayin', 'b)vAraya', 'c)kopalatA', 'd)vyAptiH')
('atikramaRam', 'a)vyutkramaRam', 'b)SilpaSAstram', 'c)martyaH', 'd)nigal')
('anatikramaRam', 'a)anutkramaRam', 'b)atipAtitam', 'c)gopanam', 'd)SAmbukaH')
('kaWiRakavacIjantuH', 'a)molaskajantuH', 'b)nigrah', 'c)zaqBujaH', 'd)laGutvam')
('sidDAntaH', 'a)tattvam', 'b)jalASayam', 'c)manoraTa', 'd)cint')
('KAdyamAMsam', 'a)Amizam', 'b)tejaH', 'c)saMtrAsaH', 'd)grAmin')
('nind', 'a)kzip', 'b)aSaktiH', 'c)plakzAdevI', 'd)anucitaH')
('SabdaH', 'a)DvaniH', 'b)sAmayika', 'c)jalakalkaH', 'd)SuB')
('uktiH', 'a)vyAhAraH', 'b)sikta', 'c)lipibadDa', 'd)karatAlam')
('cireRa', 'a)cire', 'b)kowam', 'c)nalikA', 'd)atItaH')
('SaNKaH', 'a)kambuH', 'b)udyamaH', 'c)jAbAla', 'd)mahOzaDam')
('manodaSA', 'a)manovasTA', 'b)maDura', 'c)parikup', 'd)daSanaH')
('BavizyatkAlam', 'a)anAgatam', 'b)vandya', 'c)yAjYikaH', 'd)prakfzwa')
('AgAmin', 'a)BAvin', 'b)yogezwam', 'c)vaRWaraH', 'd)Cedanam')
('pAKaRqI', 'a)pAzaRqI', 'b)praboDaya', 'c)dvipaH', 'd)rakzaRam')
('digambarasADuH', 'a)kzapaRaH', 'b)nizeDita', 'c)BagavAn', 'd)amalam')
('bOdDaBikzuH', 'a)jAtakaH', 'b)tulya', 'c)vinDyaH', 'd)pratibanD')
('saMnyAsinI', 'a)sADvI', 'b)tfRam', 'c)praSaMsitavya', 'd)Aspand')
('tulya', 'a)tulanIya', 'b)bAhya', 'c)citraraTaH', 'd)sEkata')
('nyAyahIna', 'a)anyAyapUrRa', 'b)jarAyuH', 'c)vinASaya', 'd)gaBastI')
('tuzwiH', 'a)tfptiH', 'b)visPowaH', 'c)kAryapravartakaH', 'd)AkASagAmin')
('bahuSo', 'a)vikretA', 'b)ADArahIna', 'c)avarzaRam', 'd)aniyata')
('alpaSo', 'a)vikretA', 'b)Palgva', 'c)SaNkAyukta', 'd)pramARapatram')
('nyAyya', 'a)nyAyasaNgata', 'b)samAlokaya', 'c)pratiBAnvita', 'd)SAMtiH')
('ahiMsra', 'a)ahiMsaka', 'b)vyaTA', 'c)samAkAraRam', 'd)madanotsavaH')
('KaRqanIya', 'a)Bedya', 'b)sudfSya', 'c)nOkAvasanam', 'd)vajracUrRam')
('tatra', 'a)tatsTAne', 'b)pARqaravAsinyAH', 'c)parakIya', 'd)kzatiH')
('palAyin', 'a)apakramin', 'b)yuk', 'c)varjaH', 'd)Amram')
('yuyutsu', 'a)yodDf', 'b)veRuH', 'c)saMyuktatA', 'd)anekArTaka')
('aBedya', 'a)aBaNgya', 'b)svaharaRam', 'c)parirakz', 'd)saPalata')
('prAkftika', 'a)jalASayaH', 'b)asTanvat', 'c)vAyupawa', 'd)citrA')
('grAmavAsinI', 'a)grAmIRA', 'b)parityaj', 'c)aDigata', 'd)advitIya')
('prAkftikakriyA', 'a)prAkftikakAryam', 'b)niraNkuSa', 'c)jaraRA', 'd)atiSayaH')
('nagaranivAsin', 'a)puravAsin', 'b)padapAtaH', 'c)cacara', 'd)purAkAlInatA')
('fkRavahaH', 'a)fkRavahI', 'b)laSUnam', 'c)mftakambalaH', 'd)dinam')
('markawI', 'a)vAnarI', 'b)dUrIkfta', 'c)mandabudDi', 'd)vinAyakadAmodarasAvarakaramahodayaH')
('samudAyaH', 'a)saNGaH', 'b)praRavamantraH', 'c)vipakzatA', 'd)kokIlaH')
('kamalam', 'a)padmaH', 'b)dolAyamAnaH', 'c)gotram', 'd)apadA')
('vetram', 'a)suzeRam', 'b)tvak', 'c)bENka', 'd)udBidya')
('jalIyapAdapaH', 'a)jalIyavanaspatiH', 'b)kzIRa', 'c)gopikA', 'd)ijyaH')
('GfRA', 'a)karuRA', 'b)apasac', 'c)rakzakaH', 'd)vItahotraH')
('vismftiH', 'a)vismaraRam', 'b)paSvAdiSAstram', 'c)malinAmbu', 'd)aDiviDA')
('KagolIyakzetram', 'a)KamaRqalam', 'b)yavAnI', 'c)mattavilAsIni', 'd)praBAte')
('karajam', 'a)kararuhaH', 'b)samIkzaya', 'c)manohara', 'd)vinASaH')
('padDatiH', 'a)prakriyA', 'b)kusvapnam', 'c)vEtaraRI', 'd)asTiBaYjaka')
('kuNkumam', 'a)vAhnIkam', 'b)duHsamayaH', 'c)SaNKAhvA', 'd)vittam')
('sarvocca', 'a)nyAyAlayam', 'b)sUryASmA', 'c)saNGaH', 'd)sisalIdvIpaH')
('DarmADyakzaH', 'a)DarmADikArI', 'b)tuvaraH', 'c)nizPenasevinI', 'd)udbADakaH')
('sAkzipIWakam', 'a)sAkzipIWakaH', 'b)arhaH', 'c)AyuDam', 'd)karidantaH')
('vEmatyam', 'a)anEkyam', 'b)dOrBAgyam', 'c)nirdeSaH', 'd)vas')
('CAtrA', 'a)vidyArTinI', 'b)ahiBuk', 'c)vlAdimIra', 'd)aBIpsu')
('dEvam', 'a)BAgyam', 'b)dyUtakAraH', 'c)caRikA', 'd)DUmaH')
('sOBAgyam', 'a)suBAgyavattavam', 'b)kUpaH', 'c)jan', 'd)pratinavartaya')
('manda', 'a)manTara', 'b)izuDiH', 'c)AcAryA', 'd)ripunipAtin')
('dUradarSin', 'a)agradarSin', 'b)sOjas', 'c)lakzaRA', 'd)gAtf')
('avalokita', 'a)dfzwigata', 'b)asahanaSIlatA', 'c)AsTita', 'd)unmattatA')
('BUtapUrva', 'a)pUrva', 'b)vimarddanam', 'c)kupracAraH', 'd)nilI')
('purARa', 'a)purAtana', 'b)daRqanIya', 'c)nasA', 'd)devotTAnEkAdaSI')
('kadA', 'a)karhi', 'b)pfTuvAhikA', 'c)pratibanDakaH', 'd)kutsita')
('karkaraH', 'a)suDA', 'b)SataSatAni', 'c)trizazwa', 'd)mAlikA')
('yOgikapadArTaH', 'a)saNkaraH', 'b)gadArA', 'c)manovyApa', 'd)hasat')
('SiKA', 'a)cUqA', 'b)kulam', 'c)ekotiBAvaH', 'd)ऑPa')
('SfNKalA', 'a)hastapASaH', 'b)tulA', 'c)ऑPa', 'd)mattavilAsI')
('prakASamat', 'a)Alokita', 'b)daSAkarzaH', 'c)sTirasADanakaH', 'd)sambanDarahita')
('aBinandita', 'a)aBivandita', 'b)vistaraH', 'c)yuktiH', 'd)CalI')
('jAlma', 'a)pApizWa', 'b)BAratIyA', 'c)KAta', 'd)tUliH')
('BaNgaH', 'a)BaNgam', 'b)viSvavidyAlayaH', 'c)manda', 'd)upaskfta')
('SAlIna', 'a)sajjana', 'b)nidrAnASaH', 'c)mArgadarSakaH', 'd)dalaH')
('SAlIna', 'a)lajjASIla', 'b)tEtilaH', 'c)jf', 'd)PuwaH')
('suSIla', 'a)sOmya', 'b)capalaH', 'c)saYkuc', 'd)virakz')
('durjana', 'a)Kala', 'b)dvAram', 'c)samanugam', 'd)samprata')
('navapraSikzitaH', 'a)damyaH', 'b)yudDanivfttiH', 'c)vAcAwa', 'd)yudDaDvajaH')
('mAMsam', 'a)piSitam', 'b)apravftta', 'c)svArAjyam', 'd)powalakaH')
('uttuNga', 'a)ucca', 'b)avanam', 'c)pASaH', 'd)karvvawam')
('DarmaH', 'a)DarmakAryam', 'b)sAkAMkza', 'c)Baduram', 'd)svargasTaH')
('lohita', 'a)raktima', 'b)hotra', 'c)parigrah', 'd)dvAnavata')
('vyAGraH', 'a)SArdUlaH', 'b)niraparADatA', 'c)AtmIya', 'd)BftyABAvaH')
('vedanA', 'a)vedanam', 'b)vyaNgaH', 'c)DAtreyikAyI', 'd)durAcaraH')
('AcAryA', 'a)SikzikA', 'b)tUlam', 'c)dUtI', 'd)uzRIzaH')
('nAstikatAvAdaH', 'a)anISvaravAdaH', 'b)wIkA', 'c)Ba', 'd)indumaRiH')
('ISvaravAdaH', 'a)AstikyavAdaH', 'b)dudrumaH', 'c)lohitIkfta', 'd)gam')
('mAsaH', 'a)mAH', 'b)saMyukta', 'c)samAraB', 'd)vfttam')
('mAsaH', 'a)mAH', 'b)CallI', 'c)tanmayatA', 'd)avaSatA')
('saptAham', 'a)vArasaptakam', 'b)upanyAsaH', 'c)pramARIkf', 'd)anicCayA')
('vitaraRam', 'a)dAnam', 'b)aSvamArakaH', 'c)nivAraya', 'd)paridevitam')
('aDyAyaH', 'a)paricCedaH', 'b)akampitatA', 'c)upasAntvaya', 'd)ayAtayAma')
('gORatA', 'a)apraDAnatA', 'b)aKyAta', 'c)SizwaH', 'd)manohara')
('bARa', 'a)SaraH', 'b)uraH', 'c)upapattiH', 'd)mudrA')
('vidyAlayaH', 'a)SAlA', 'b)As', 'c)vidAraRaH', 'd)pramARapatram')
('niyuktiH', 'a)niyogaH', 'b)sadAcArin', 'c)krIqA', 'd)siMhakesaraH')
('caraRarajaH', 'a)padarajaH', 'b)prasaNgahIna', 'c)vartaniH', 'd)mEtrI')
('kiYcit', 'a)alpaBAgaH', 'b)muKya', 'c)gADiH', 'd)prasADanam')
('viSezADikAraH', 'a)prADikAraH', 'b)lepaH', 'c)BrAntA', 'd)relapaTaH')
('arhatA', 'a)yogyatA', 'b)gaRqakaH', 'c)aparADapUrRatA', 'd)alambuza:')
('apAtratA', 'a)ayogyatA', 'b)hiNguniryAsaPalam', 'c)Buj', 'd)EpI')
('aDikArI', 'a)aDikAravAn', 'b)preray', 'c)anuSokaH', 'd)KaniH')
('uccADikArI', 'a)varizWaaDikArI', 'b)mAnyatA', 'c)saMyogaH', 'd)adButatA')
('anuSAsaka', 'a)anuSAsin', 'b)pawamaRqapaH', 'c)catuHsaptata', 'd)KaRqapARiH')
('maRiH', 'a)kakud', 'b)SapaTapUrvaM', 'c)mAMsalaH', 'd)samBUta')
('jYAnam', 'a)parijYAnam', 'b)kAkenduH', 'c)AraH', 'd)tUlapicuH')
('kapawikaH', 'a)kUwaCadmA', 'b)trapA', 'c)prakamp', 'd)anaBra')
('anarha', 'a)apAtra', 'b)ASAnukUla', 'c)sASru', 'd)DAtvIya')
('kApawyam', 'a)kOwilyam', 'b)carcA', 'c)padANgadam', 'd)sTA')
('Brazwa', 'a)apagata', 'b)kalAntaram', 'c)kzveqA', 'd)prabadaraH')
('aSAnta', 'a)udvigna', 'b)totA', 'c)Bavanam', 'd)avaBAsa')
('aprAptiH', 'a)anupalabDiH', 'b)suSIlatA', 'c)AmalakaH', 'd)ABAz')
('prAptiH', 'a)AdAnam', 'b)alAyAsaH', 'c)aByAp', 'd)prasaNgaH')
('pravAlaH', 'a)prabAlaH', 'b)vErAgyam', 'c)nirluRWanam', 'd)graTita')
('keturatnam', 'a)vEdUryam', 'b)nUtana', 'c)yudDam', 'd)SuBacintaka')
('mARikyam', 'a)padmarAgam', 'b)tArAkIrRa', 'c)kAmadeva', 'd)kElIPorniyArAjyam')
('indranIlaH', 'a)aSmasAraH', 'b)vyavahArita', 'c)prasADita', 'd)dehAtmavAdaH')
('sadasyaH', 'a)saBAsad', 'b)kAtyAyanI', 'c)nindA', 'd)KAtram')
('sAhAyyakartA', 'a)upakArI', 'b)viSlezaya', 'c)vyAhAraH', 'd)tIrTam')
('BftyaH', 'a)anucaraH', 'b)leKanapadDatiH', 'c)pavanA', 'd)prasADanam')
('rAjYI', 'a)mahizI', 'b)upadravaH', 'c)upalaH', 'd)protpAtaya')
('somavAsaraH', 'a)induvAsaraH', 'b)suvarcalA', 'c)atipApin', 'd)sAdfSyam')
('buDavAsaraH', 'a)sOmyavAsaraH', 'b)udanvAn', 'c)Amram', 'd)upanizad')
('bfhaspativAsaraH', 'a)guruvAsaraH', 'b)kOsIdyam', 'c)amfta', 'd)vidyutkandaH')
('SukravAsaraH', 'a)SukravAraH', 'b)upagamaH', 'c)svEritA', 'd)apahnuta')
('SanivAraH', 'a)SanivAsaraH', 'b)upanizad', 'c)yogaH', 'd)gAQasOhfdam')
('saMvedItantram', 'a)saMvedIpraRAlI', 'b)asTimat', 'c)ambarIzaH', 'd)aprasidDa')
('tantrikAtantra', 'a)snAyutantra', 'b)Alimpanam', 'c)prabala', 'd)mEGa')
('kaTanam', 'a)vacanam', 'b)paryavekzikA', 'c)vinard', 'd)ativartaya')
('upakaraRam', 'a)sADanam', 'b)paYcazazwa', 'c)SApaH', 'd)Amram')
('cOryam', 'a)steyam', 'b)GuRwakaH', 'c)samIpam', 'd)sitABraH')
('svatantratA', 'a)svADInatA', 'b)haraRiH', 'c)SuB', 'd)uktiH')
('Ahve', 'a)kalahAya', 'b)AlokaloKyakAraH', 'c)citram', 'd)vipariRata')
('vIraH', 'a)SUraH', 'b)gonardaH', 'c)SiKaRqI', 'd)sahasrAram')
('BIruH', 'a)BItaH', 'b)mUrtiH', 'c)saMvf', 'd)pAtakI')
('atItaH', 'a)atItakAlaH', 'b)kAryakramapatrikA', 'c)Darma', 'd)saBA')
('puzpita', 'a)kusumita', 'b)harakaH', 'c)hayaH', 'd)pratimA')
('samApta', 'a)sampUrRa', 'b)pUrvavAyuH', 'c)samunnadDa', 'd)kzuraBawwaH')
('yodDA', 'a)yoDaH', 'b)sakriya', 'c)aBivAhyam', 'd)BaNgaH')
('apavitra', 'a)apAvana', 'b)upaDyE', 'c)suragaRaH', 'd)AyattiH')
('SAntacittatA', 'a)sTiramanaskatA', 'b)kadAcaraRam', 'c)katAradeSIya', 'd)devI')
('viSvaguruH', 'a)jagadguruH', 'b)nirGozaH', 'c)nodaya', 'd)prajA')
('prasTAnam', 'a)prayARam', 'b)BftyatA', 'c)mUlyam', 'd)namaskAraH')
('yAntrika', 'a)yAntra', 'b)snAtakaH', 'c)suramandiram', 'd)cakrANgI')
('tajjYaH', 'a)kuSalaH', 'b)antam', 'c)vratam', 'd)tvac')
('pariSramaH', 'a)udyamaH', 'b)saMsmaraRam', 'c)maTanam', 'd)puzpaveRI')
('vivecanam', 'a)mImAMsA', 'b)AtmA', 'c)paridevanam', 'd)KaRqaya')
('praDAnAcAryA', 'a)praDAnADyApikA', 'b)mArgAt', 'c)prapUjaya', 'd)vasanahInatA')
('prAcAryaH', 'a)muKyADyApakaH', 'b)dikcakravAlam', 'c)AhatiH', 'd)jantujA')
('aDyApikA', 'a)SikzikA', 'b)dvijaliNgI', 'c)avirala', 'd)vastraraNgA')
('CAtraH', 'a)SizyaH', 'b)vAlyam', 'c)agfhItavidya', 'd)parivfD')
('paRqita', 'a)vidvas', 'b)karawaH', 'c)unmatta', 'd)vawavfkzaH')
('vikIrRacetas', 'a)DyAnahIna', 'b)agnyutpAtaH', 'c)yamadUtaH', 'd)ayaHkiwwam')
('nAgaH', 'a)kAdraveyaH', 'b)saru', 'c)fRacCedaH', 'd)yantrAlayaH')
('ozaDiH', 'a)ozaDI', 'b)pratimUrtiH', 'c)sadmacitimuKam', 'd)bahirindriyam')
('tfRam', 'a)arjunam', 'b)visaMvad', 'c)madotkawa', 'd)koSikA')
('prAtaHkAlaH', 'a)uzaHkAlaH', 'b)maqa़goladeSIyaH', 'c)kurukzetram', 'd)ganDabIjA')
('ahopuruzikA', 'a)vikatTA', 'b)sandaSakaH', 'c)nArAyaRI', 'd)paryAya')
('BrAtfjA', 'a)BrAtrIyaH', 'b)malina', 'c)paribfMh', 'd)waॉvara')
('nirmitA', 'a)upAtta', 'b)kanakagOram', 'c)dAvaH', 'd)paramataH')
('parizkfta', 'a)parimArjita', 'b)apavitra', 'c)vitaraRam', 'd)mAtariSvA')
('apanata', 'a)nata', 'b)leKApAlaH', 'c)punaH', 'd)pradIpaH')
('aDikfta', 'a)aDikArayukta', 'b)upanAhaH', 'c)raktaH', 'd)vakra')
('sADikAram', 'a)aDikArataH', 'b)svArTaparatA', 'c)saYcint', 'd)liS')
('kariyAdaH', 'a)kariyAdaH', 'b)aDivAsaya', 'c)arAla', 'd)vistareRa')
('anya', 'a)itara', 'b)kuwIraH', 'c)kzapaRakaH', 'd)AGawwanam')
('powalakaH', 'a)powalikA', 'b)vinItatvam', 'c)saMvarDaka', 'd)wagara')
('Sikzita', 'a)kftavidya', 'b)aSabda', 'c)dahanam', 'd)puRqrakaH')
('aparADapUrRatA', 'a)dozapUrRatA', 'b)varaya', 'c)Sa', 'd)veRikA')
('kfziH', 'a)kArziH', 'b)kapotavagA', 'c)aBiBUtam', 'd)tURIraH')
('sambadDa', 'a)sambanDin', 'b)aSiram', 'c)uktiH', 'd)Druva')
('samarTaka', 'a)anumodaka', 'b)tarI', 'c)candrikA', 'd)BU')
('vAcAla', 'a)jalpaka', 'b)pratIloma', 'c)kurUpA', 'd)lAmajjakam')
('vivAhita', 'a)pariRIta', 'b)kzArIya', 'c)hayArohin', 'd)namya')
('mahadAkANkzA', 'a)uccAkANkzA', 'b)DEryahIna', 'c)KAnI', 'd)piNgalaka')
('icCApUrRatA', 'a)kAmanApUrRatA', 'b)kzatiH', 'c)utkArikA', 'd)apekzaRIyA')
('icCuka', 'a)icCu', 'b)SIGragAmin', 'c)ASramaH', 'd)puRyakartf')
('anuBavapUrRatA', 'a)anuBavayuktatA', 'b)rAjakulam', 'c)yukta', 'd)nagna')
('Bojanam', 'a)AhAraH', 'b)catvAri', 'c)yogya', 'd)SoRaH')
('nirAmaya', 'a)vArta', 'b)GAtita', 'c)rAjYI', 'd)gaRqaH')
('sahodaraH', 'a)BrAtA', 'b)kARqam', 'c)dUtyam', 'd)saMgamaH')
('alpamUlya', 'a)alpArTa', 'b)pAl', 'c)paYcASa', 'd)uzIram')
('drAkzA', 'a)mfdvIkA', 'b)BfNgaH', 'c)viparitagAmin', 'd)viSAlahfdaya')
('sulakzaRa', 'a)sulakza', 'b)fkzam', 'c)aBigrah', 'd)gAyakI')
('narajananANgam', 'a)naraguptANgam', 'b)kaparakI', 'c)kulaBftyA', 'd)avamAnaH')
('sarasa', 'a)rasavat', 'b)pragetanam', 'c)pratizeDaH;', 'd)aSmagarBam')
('prayogaH', 'a)upayogaH', 'b)kf', 'c)vya', 'd)vip')
('sadAcAraH', 'a)sADutA', 'b)samanugam', 'c)niS', 'd)kusumarahita')
('vyavahAraH', 'a)vfttiH', 'b)pravap', 'c)DAnyavIraH', 'd)dantaDAvanaH')
('ekAgratA', 'a)EkAgryam', 'b)parRASA', 'c)golPakrIqakaH', 'd)amalina')
('prARAntaka', 'a)prARaGAtaka', 'b)kAryaSElI', 'c)gatiH', 'd)girijam')
('Sruta', 'a)ASruta', 'b)asanavfkzaH', 'c)vikAraSUnya', 'd)sUcanam')
('sAsUya', 'a)IrzyApUrRa', 'b)mAraRam', 'c)saMDU', 'd)saNketasTalam')
('vimAtfjaH', 'a)vEmAtreyaH', 'b)kAmya', 'c)kAYcI', 'd)AGAwaH')
('darpatA', 'a)OdDatyam', 'b)aByupayukta', 'c)pezaRI', 'd)kAma')
('BAvya', 'a)BAvin', 'b)suKam', 'c)pratibanDaH', 'd)bAhya')
('liKitacihnam', 'a)liKitalakzaRam', 'b)mAraPatam', 'c)sAparADa', 'd)alaBya')
('atiTiprakozWaH', 'a)atiTikakzaH', 'b)SaNKadrAvakaH', 'c)SalAkA', 'd)sadma')
('guptadvAram', 'a)guhyadvAram', 'b)kowiH', 'c)sammAnaH', 'd)vi')
('vyay', 'a)vyayIkf', 'b)pAraRam', 'c)carmajam', 'd)ASAbanDaH')
('paway', 'a)avadal', 'b)vinASin', 'c)piwaNgikI', 'd)prakAraH')
('kuzWam', 'a)Svitram', 'b)mftyuH', 'c)cAmaram', 'd)gajadantaH')
('DarAtalaH', 'a)BUmiH', 'b)upadeSaH', 'c)vipinam', 'd)punarvicAraprArTanA')
('pAtram', 'a)amatram', 'b)kzipa', 'c)garBAgAraH', 'd)sADumanya')
('yavanikApAtaH', 'a)pawAkzepaH', 'b)avaBartsanam', 'c)hananam', 'd)parisamApanam')
('vapanam', 'a)vApaH', 'b)mudu', 'c)anuboDaya', 'd)paramavismita')
('secanam', 'a)nizecanam', 'b)kalahakAra', 'c)vAravuzA', 'd)daMSanam')
('rajakaH', 'a)mArjaH', 'b)muzalI', 'c)pratiroDaH', 'd)nigal')
('kAryakramapatrikA', 'a)kAryakramasUcI', 'b)jIvam', 'c)turaNgamaH', 'd)AvaliH')
('sUciH', 'a)sUcI', 'b)niraBra', 'c)prAvIRyam', 'd)anAgatAparADaH')
('paNktiH', 'a)SreRiH', 'b)upaSlAG', 'c)pradarSanI', 'd)UnIkf')
('sAraH', 'a)nizkarzaH', 'b)tulanA', 'c)paratra', 'd)viSada')
('gururatnam', 'a)pItamaRiH', 'b)prARimAtram', 'c)kamalasaraH', 'd)kftiH')
('mAnam', 'a)pramARam', 'b)aprAdurBUta', 'c)sOraBeyaH', 'd)muc')
('jananANgam', 'a)guptANgam', 'b)rudrARI', 'c)aNgulIkaH', 'd)avipulaH')
('nizpavanam', 'a)nizpUtiH', 'b)SUdratA', 'c)avasad', 'd)maYcakaH')
('SasyaCedanam', 'a)Sasyakartanam', 'b)vipatsamayaH', 'c)saMtozaya', 'd)nObanDanakIlaH')
('ruciraprastaraH', 'a)cAruprastaraH', 'b)rAjyanIti', 'c)vatsA', 'd)raNgaH')
('ganDavartikA', 'a)pAlaNkI', 'b)nApitaSAlA', 'c)parizad', 'd)kup')
('parijYAta', 'a)prajYAta', 'b)aDika', 'c)tozaH', 'd)nirvfttiH')
('gfham', 'a)geham', 'b)mftyulokaH', 'c)sadAPalaH', 'd)sampAdanam')
('gfham', 'a)sTAnam', 'b)praBupradatta', 'c)Bojay', 'd)yogasADanA')
('pARqavaH', 'a)pARqunandanaH', 'b)nImaroqa', 'c)uttamatvam', 'd)SarAvaH')
('saNgrahAlayaH', 'a)kOtukAgAraH', 'b)riktatA', 'c)Kewam', 'd)luW')
('apAnam', 'a)gudam', 'b)manmaTapriyA', 'c)atiSrezWa', 'd)prayojanam')
('aBiBAz', 'a)ABAz', 'b)bARASrayaH', 'c)nipAtaya', 'd)saGozavikrayaH')
('Sap', 'a)saMSap', 'b)Anandamaya', 'c)ukTam', 'd)SrIvAsaH')
('sampravad', 'a)samBAz', 'b)kaTaya', 'c)anurAgajanaka', 'd)prayAgaH')
('nirmala', 'a)vimala', 'b)banDinI', 'c)ulleKaH', 'd)saMkawagrasta')
('sat', 'a)sADu', 'b)prayatnapUrvakaH', 'c)kramabadDa', 'd)hEmam')
('pavitra', 'a)meDya', 'b)SrIparRI', 'c)pogaRqaH', 'd)grAsaH')
('anaGa', 'a)nizpApa', 'b)uparatiH', 'c)alpatA', 'd)nizkAsita')
('SudDa', 'a)viSudDa', 'b)mAraRam', 'c)rAtriparikramaRam', 'd)hiMsanam')
('rajakaH', 'a)SOceyaH', 'b)anIpsita', 'c)duzkarma', 'd)AyaH')
('sAvaDAnam', 'a)sAkUtam', 'b)atulanIya', 'c)sutajI', 'd)dAnaH')
('sotsAham', 'a)sayatnam', 'b)gaRanAyakaH', 'c)praRayaH', 'd)ananyamanaskatA')
('SIGram', 'a)tvarayA', 'b)duzkulam', 'c)cintya', 'd)triparRaH')
('aNkuraH', 'a)prarohaH', 'b)sahastraveDi', 'c)sopAnapaNktiH', 'd)aBiKyAta')
('nirdayaH', 'a)nizWuraH', 'b)ASA', 'c)kArAvAsaH', 'd)anityatvam')
('akzaram', 'a)varRaH', 'b)mAlA', 'c)nazwasmfti', 'd)gopanIya')
('kawiH', 'a)SroRiH', 'b)AyogaH', 'c)bahuputraH', 'd)viTI')
('cihnam', 'a)lakzaRam', 'b)Salkalam', 'c)avakarikA', 'd)SalAkA')
('cihnam', 'a)aNkaH', 'b)AGAtaH', 'c)tvazwA', 'd)nandiH')
('jalam', 'a)vAri', 'b)anviz', 'c)dvEtavAdI', 'd)udDAram')
('inDanam', 'a)iDmam', 'b)sTAnam', 'c)vadyapakzaH', 'd)pratipad')
('mUlyanirUpakaH', 'a)arTasaNKyApakaH', 'b)raRapaRqitaH', 'c)Andolanam', 'd)kAmodI')
